airport_name,cancellation_reason,num_cancellations
"Tallahassee, FL: Tallahassee International",Weather,2
"Tampa, FL: Tampa International",Weather,12
"Bristol/Johnson City/Kingsport, TN: Tri Cities",Weather,1
"Tulsa, OK: Tulsa International",Weather,14
"Tucson, AZ: Tucson International",Weather,15
"Texarkana, AR: Texarkana Regional-Webb Field",Weather,4
"Tyler, TX: Tyler Pounds Regional",Weather,5
"Knoxville, TN: McGhee Tyson",Weather,2
"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",Weather,1
"Wrangell, AK: Wrangell Airport",Carrier,1
"Fayetteville, AR: Northwest Arkansas Regional",Weather,7
